sample_id,file,found_taxa,total_taxa,found_fraction,found_abundance_fraction
ERR1883195,ERR1883195.pickle,35.0,65.0,0.5384615384615384,0.9195734752511521
ERR1883207,ERR1883207.pickle,37.0,71.0,0.5211267605633803,0.901900228899466
ERR1883212,ERR1883212.pickle,42.0,64.0,0.65625,0.8144162843201515
ERR1883214,ERR1883214.pickle,17.0,19.0,0.8947368421052632,0.9991146458583433
ERR1883225,ERR1883225.pickle,22.0,30.0,0.7333333333333333,0.971529411764706
ERR1883240,ERR1883240.pickle,10.0,12.0,0.8333333333333334,0.9961310335424053
ERR1883250,ERR1883250.pickle,25.0,31.0,0.8064516129032258,0.9300274436025339
ERR1883294,ERR1883294.pickle,22.0,28.0,0.7857142857142857,0.4946296296296296
